department,admission_year_from,admission_year_to,grade_year,term,required_type,course_code,course_name,credits,is_active
경영정보학과,2018,2021,1,1,전필,6208028,회계원리(Principles of Accounting),3,1
경영정보학과,2018,2021,1,1,전필,6208035,경영통계학(Business Statistics),3,1
경영정보학과,2018,2021,1,1,전선,6208003,경영학원론(Principles of Management),3,1
경영정보학과,2018,2021,1,1,전선,6208066,비즈니스 커뮤니케이션 실무(Practices in Business Communication),3,1
경영정보학과,2018,2021,1,2,전필,6208028,회계원리(Principles of Accounting),3,1
경영정보학과,2018,2021,1,2,전필,6208035,경영통계학(Business Statistics),3,1
경영정보학과,2018,2021,1,2,전선,6208063,경영과 정보기술(Management and IT),3,1
경영정보학과,2018,2021,2,1,전필,6208033,데이터베이스시스템(Database Systems),3,1
경영정보학과,2018,2021,2,1,전필,6208076,비즈니스 프로세스 분석과 응용 소프트웨어 설계(Business Process Analysis and Application Software Design),3,1
경영정보학과,2018,2021,2,1,전필,6208019,재무관리(Financial Management),3,1
경영정보학과,2018,2021,2,1,전필,6208005,계량경영학(Introduction to Quantitative Management),3,1
경영정보학과,2018,2021,2,1,전선,6208007,마케팅관리론(Marketing Management),3,1
경영정보학과,2018,2021,2,1,전선,6208024,조직행동론(Organizational Behavior),3,1
경영정보학과,2018,2021,2,1,전선,6208808,디지털산업론 (Introduction to Digital Industry),3,1
경영정보학과,2018,2021,2,2,전필,6208033,데이터베이스시스템(Database Systems),3,1
경영정보학과,2018,2021,2,2,전필,6208076,비즈니스 프로세스 분석과 응용 소프트웨어 설계(Business Process Analysis and Application Software Design),3,1
경영정보학과,2018,2021,2,2,전필,6208019,재무관리(Financial Management),3,1
경영정보학과,2018,2021,2,2,전필,6208005,계량경영학(Introduction to Quantitative Management),3,1
경영정보학과,2018,2021,2,2,전선,6208007,마케팅관리론(Marketing Management),3,1
경영정보학과,2018,2021,2,2,전선,6208024,조직행동론(Organizational Behavior),3,1
경영정보학과,2018,2021,2,2,전선,6208037,비즈니스 커뮤니케이션(Business Communication),3,1
경영정보학과,2018,2021,2,2,전선,6208070,창조적 사고의 기술(Creativity Technology),3,1
경영정보학과,2018,2021,3,1,전필,6208039,생산관리(Production Management),3,1
경영정보학과,2018,2021,3,1,전필,6208040,정보통신경영(Information and Telecommunication Management),3,1
경영정보학과,2018,2021,3,1,전필,6208069,프로그래밍언어(Programming Language),3,1
경영정보학과,2018,2021,3,1,전필,6208004,경영정보시스템(Management Information Systems),3,1
경영정보학과,2018,2021,3,1,전필,6208804,객체지향 응용소프트웨어 설계(Object-oriented Application Software Design),3,1
