department,admission_year_from,admission_year_to,rule_type,source_college,source_department,required_type_source,course_code,course_name,recognized_type,is_active,notes
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210008,경제학원론(Principles of Economics),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210008,경제학원론(Principles of Economics),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210008,경제학원론(Principles of Economics),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210040,중급회계Ⅰ(Intermediate AccountingⅠ),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210040,중급회계Ⅰ(Intermediate AccountingⅠ),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210040,중급회계Ⅰ(Intermediate AccountingⅠ),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210045,증권시장(Security Market),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210045,증권시장(Security Market),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210045,증권시장(Security Market),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210016,소비자행동론(Consumer Behavior),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210016,소비자행동론(Consumer Behavior),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210016,소비자행동론(Consumer Behavior),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210072,경영조직론(Organizational Theory for Management),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210072,경영조직론(Organizational Theory for Management),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210072,경영조직론(Organizational Theory for Management),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210021,투자론(Investment Theory),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210021,투자론(Investment Theory),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210021,투자론(Investment Theory),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210068,경영전략론(캡스톤디자인)(Strategic Management),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210068,경영전략론(캡스톤디자인)(Strategic Management),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210068,경영전략론(캡스톤디자인)(Strategic Management),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210044,기업윤리(Business Ethics),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210044,기업윤리(Business Ethics),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210044,기업윤리(Business Ethics),전선,1,
경영정보학과,2018,2021,개별과목,,경영학부,전선,6210071,환경경영과 기업의 사회적 책임(Environmental Management and CSR),전선,1,
경영정보학과,2022,2022,개별과목,,경영학부,전선,6210071,환경경영과 기업의 사회적 책임(Environmental Management and CSR),전선,1,
경영정보학과,2023,9999,개별과목,,경영학부,전선,6210071,환경경영과 기업의 사회적 책임(Environmental Management and CSR),전선,1,
경영정보학과,2018,2021,개별과목,,국제경영 학과,전선,6209100,글로벌비즈니스의 이해(Understanding of Global Business),전선,1,
경영정보학과,2022,2022,개별과목,,국제경영 학과,전선,6209100,글로벌비즈니스의 이해(Understanding of Global Business),전선,1,
경영정보학과,2023,9999,개별과목,,국제경영 학과,전선,6209100,글로벌비즈니스의 이해(Understanding of Global Business),전선,1,
경영정보학과,2018,2021,개별과목,,국제경영 학과,전선,6209044,경제학원론(Principles of Economics),전선,1,
경영정보학과,2022,2022,개별과목,,국제경영 학과,전선,6209044,경제학원론(Principles of Economics),전선,1,
경영정보학과,2023,9999,개별과목,,국제경영 학과,전선,6209044,경제학원론(Principles of Economics),전선,1,
